"","id_order","sku","name_en"
"1",299549,"PAC0923","Apple iMac 27 Core i5 3.2GHz Retina 5K | 32GB | 2TB Drive Fusion"
"2",299600,"PAC0486","Apple Mac Pro Quad-Core 37GHz | 64 GB RAM | 1TB Flash"
"3",298391,"PAC1588","Apple iMac 27 Core i5 3.2GHz Retina 5K | 32GB RAM | 1TB SSD | AMD Radeon R9 M390"
"4",299648,"PAC1375","Pack QNAP TS-228 | WD 6TB Network"
"5",299673,"PAC0563","Samsung 256GB SSD expansion PRO Kit for iMac 27 2011"
"6",299674,"PAC1290","Pack QNAP TS-251 + | 8GB RAM | WD 6TB Network"
"7",299859,"PAC1367","Synology Pack DS216J | WD 8TB Network"
"8",299860,"PAC1510","QNAP TS-451A NAS l 8GB RAM"
"9",299962,"PAC0127","Kingston V300 SSD expansion kit 240GB + OWC Mount Pro for Mac Pro 2009 to 2012"
"10",300054,"PAC1867","Tools Pack for Mac mini 2014 to present"
"11",300055,"PAC1498","IFixit iMac Pack Opening Tool to open iMac 27 Late 2012 and later + adhesive strips"
"12",300189,"PAC0017","OWC Data Doubler Pack MacBook / MacBook Pro"
"13",300283,"PAC1394","Elgato Eve and Energy Plug Power Wireless Sensor Pack 2 units"
"14",300314,"PAC0617","Samsung SSD 850 expansion kit EVO 500GB + OWC Mount Pro for Mac Pro 2009 to 2012"
"15",300369,"PAC0692","Samsung SSD 850 expansion kit EVO 250GB + Datadoubler for iMac and Mac mini 2009 2009/2011"
"16",300391,"PAC1729","QNAP TS-128 Server l Nas 2TB (1x2TB) WD Red"
"17",300525,"PAC1764","QNAP TS-431P NAS"
"18",300627,"PAC0616","Samsung SSD 850 expansion kit EVO 500GB + Datadoubler for MacBook / MacBook Pro from 2008 to 2012"
"19",300639,"PAC1393","Pack Belkin Car Charger + Cable Premium Dark Gray 24A Lightning"
"20",300950,"PAC0588","Apple Mac mini Core i5 14GHz | 8GB RAM | 500GB SSD"
"21",300954,"PAC0776","Kit Samsung SSD 850 EVO expansion 1TB + OWC Mount Pro for Mac Pro 2009 to 2012"
"22",301129,"PAC1432","Synology DS116 Pack | Seagate 4TB IronWolf"
