"","id_order","sku","name_en"
"1",318156,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"2",321267,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"3",336084,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"4",338609,"MIC0031","Office Home and Student 2016 Software for Mac"
"5",343872,"MIC0029","Office Home and Business 2016 Software for Mac"
"6",350844,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"7",353932,"MIC0031","Office Home and Student 2016 Software for Mac"
"8",354405,"MIC0031","Office Home and Student 2016 Software for Mac"
"9",363154,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"10",372333,"MIC0029","Office Home and Business 2016 Software for Mac"
"11",378735,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"12",397591,"MIC0031","Office Home and Student 2016 Software for Mac"
"13",402851,"MIC0029","Office Home and Business 2016 Software for Mac"
"14",402955,"MIC0031","Office Home and Student 2016 Software for Mac"
"15",417368,"MIC0031","Office Home and Student 2016 Software for Mac"
"16",423963,"SYN0155","Synology MailPlus License for 5 users"
"17",425701,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"18",427847,"MIC0031","Office Home and Student 2016 Software for Mac"
"19",438240,"MIC0031","Office Home and Student 2016 Software for Mac"
"20",439802,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"21",440435,"MIC0029","Office Home and Business 2016 Software for Mac"
"22",436561,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"23",429691,"MIC0029","Office Home and Business 2016 Software for Mac"
"24",442402,"MIC0031","Office Home and Student 2016 Software for Mac"
"25",443284,"MIC0031","Office Home and Student 2016 Software for Mac"
"26",445440,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"27",446635,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"28",447148,"MIC0031","Office Home and Student 2016 Software for Mac"
"29",451964,"MIC0031","Office Home and Student 2016 Software for Mac"
"30",453278,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"31",457181,"MIC0031","Office Home and Student 2016 Software for Mac"
"32",458711,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"33",471595,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"34",475804,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"35",476063,"MIC0031","Office Home and Student 2016 Software for Mac"
"36",476090,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"37",492095,"MIC0031","Office Home and Student 2016 Software for Mac"
"38",492526,"MIC0031","Office Home and Student 2016 Software for Mac"
"39",493064,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"40",495887,"SYN0155","Synology MailPlus License for 5 users"
"41",500137,"MIC0031","Office Home and Student 2016 Software for Mac"
"42",514706,"MIC0030","Office 365 Personal 1 license 1 M ± or"
"43",519660,"MIC0030","Office 365 Personal 1 license 1 M ± or"
