"","id_order","sku","name_en"
"1",299655,"WAC0185","Education - Wacom Intuos Comic M Black"
"2",299736,"WAC0185","Education - Wacom Intuos Comic M Black"
"3",299910,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"4",300235,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"5",300387,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"6",300412,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"7",300452,"WAC0185","Education - Wacom Intuos Comic M Black"
"8",300546,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"9",300775,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"10",300778,"APP1495","Apple iPad Pro 9.7 Wi-Fi + Cellular 128GB Space Gray"
"11",300793,"WAC0162-A","(Open) Wacom Intuos Creative Art Pen & Touch M Black"
"12",300814,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"13",300882,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"14",300903,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"15",300986,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"16",301111,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"17",301204,"APP1486","Apple iPad Pro 9.7 128GB Wi-Fi Oro Rosa"
"18",301359,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"19",301393,"WAC0164","Wacom Intuos Creative Comic Pen & Touch S Graphics Tablet Black"
"20",301404,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"21",301550,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"22",301678,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"23",301689,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"24",301717,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"25",301799,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"26",302004,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"27",302013,"APP1495","Apple iPad Pro 9.7 Wi-Fi + Cellular 128GB Space Gray"
"28",302015,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"29",302072,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"30",302626,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"31",302759,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"32",303234,"APP0865","Apple iPad 2 Wi-Fi Air 128GB Dorado"
"33",303343,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"34",303353,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"35",303705,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"36",303840,"APP1743","Apple iPad Air 2 Wi-Fi 32GB Silver"
"37",304130,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"38",304174,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"39",304182,"APP1484","Apple iPad Pro 9.7 128GB Wi-Fi Plata"
"40",304237,"WAC0098","Wacom Intuos Pro L Graphics Tablet"
"41",304285,"APP1479","Apple iPad Pro 9.7 Wi-Fi 32GB Space Gray"
"42",304345,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"43",304494,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"44",304495,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"45",304554,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"46",304626,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"47",304633,"APP1485","Apple iPad Pro 9.7 128GB Wi-Fi Oro"
"48",304709,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"49",304740,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"50",304912,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"51",304956,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"52",305306,"APP1745","Apple iPad Air 2 Wi-Fi + Cellular 32GB Space Gray"
"53",305315,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"54",305474,"APP1114","Apple iPad Mini 4 Wi-Fi 128GB Gold"
"55",305510,"WAC0167","Education - Wacom Intuos Creative Art Pen & Touch M Black"
"56",305552,"APP1746","Apple iPad Air 2 Wi-Fi + Cellular 32GB Silver"
"57",305574,"APP0874","Apple iPad Air 2 Wi-Fi + Cellular 128GB Dorado"
"58",305594,"APP1484","Apple iPad Pro 9.7 128GB Wi-Fi Plata"
"59",305650,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"60",305674,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"61",301097,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"62",305775,"APP1483","Apple iPad Pro 9.7 128GB Wi-Fi Gray Space"
"63",305874,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"64",306135,"APP1485","Apple iPad Pro 9.7 128GB Wi-Fi Oro"
"65",306220,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"66",306313,"WAC0095","Wacom Intuos Pro S Graphics Tablet"
"67",306422,"WAC0157","Wacom Cintiq Interactive Pen & Touch 27QHD Mac and PC Display"
"68",306516,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"69",306532,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"70",306538,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"71",306593,"APP1495","Apple iPad Pro 9.7 Wi-Fi + Cellular 128GB Space Gray"
"72",306718,"APP1484","Apple iPad Pro 9.7 128GB Wi-Fi Plata"
"73",306721,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"74",306766,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"75",306788,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"76",306793,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"77",306883,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"78",307057,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"79",307100,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"80",307126,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"81",307203,"APP0864","Apple iPad 2 Wi-Fi Air 128GB Silver"
"82",307214,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"83",307323,"APP0873","Apple iPad Air 2 Wi-Fi + Cellular 128GB Silver"
"84",307375,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"85",307597,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"86",307616,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"87",307622,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"88",307712,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"89",307945,"APP0874","Apple iPad Air 2 Wi-Fi + Cellular 128GB Dorado"
"90",308022,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"91",308154,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"92",308347,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"93",308734,"WAC0162","Wacom Intuos Creative Art Pen & Touch M Black"
"94",308753,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"95",308970,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"96",308989,"WAC0162","Wacom Intuos Creative Art Pen & Touch M Black"
"97",309033,"APP1195","Apple iPad Pro 12.9 Wi-Fi 32GB Space Gray"
"98",309301,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"99",309549,"WAC0164","Wacom Intuos Creative Comic Pen & Touch S Graphics Tablet Black"
"100",309678,"WAC0186","Wacom Intuos Comic M Black"
"101",309685,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"102",307504,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"103",309858,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"104",309885,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"105",310061,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"106",310108,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"107",310395,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"108",310496,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"109",310505,"APP0863","Apple iPad 2 Wi-Fi Air 128GB Space Gray"
"110",310545,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"111",310597,"APP1484","Apple iPad Pro 9.7 128GB Wi-Fi Plata"
"112",310612,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"113",310631,"WAC0095","Wacom Intuos Pro S Graphics Tablet"
"114",310654,"APP0863","Apple iPad 2 Wi-Fi Air 128GB Space Gray"
"115",310675,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"116",310723,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"117",310537,"WAC0098","Wacom Intuos Pro L Graphics Tablet"
"118",311038,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"119",311074,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"120",310571,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"121",311076,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"122",311145,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"123",311180,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"124",311433,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"125",311458,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"126",311477,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"127",311511,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"128",311514,"APP1745","Apple iPad Air 2 Wi-Fi + Cellular 32GB Space Gray"
"129",311738,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"130",311798,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"131",311802,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"132",312124,"APP1743","Apple iPad Air 2 Wi-Fi 32GB Silver"
"133",312185,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"134",312404,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"135",312549,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"136",312617,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"137",312678,"WAC0096-A","Open - Wacom Intuos Pro M Graphics Tablet"
"138",312985,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"139",313007,"WAC0185","Education - Wacom Intuos Comic M Black"
"140",313026,"APP1743","Apple iPad Air 2 Wi-Fi 32GB Silver"
"141",313138,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"142",313223,"APP0863","Apple iPad 2 Wi-Fi Air 128GB Space Gray"
"143",313274,"APP1495","Apple iPad Pro 9.7 Wi-Fi + Cellular 128GB Space Gray"
"144",313349,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"145",313418,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"146",313523,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"147",313073,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"148",313530,"APP1122","Apple iPad Mini 4 Wi-Fi + Cellular 128GB Silver"
"149",313620,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"150",313901,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"151",314007,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"152",314039,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"153",314121,"APP1506","Apple iPad Pro 12.9 Wi-Fi Cellular 256GB Space Gray"
"154",314287,"APP1499","Apple iPad Pro 9.7 Wi-Fi + Cellular 256GB Space Gray"
"155",314851,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"156",314885,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"157",314943,"APP1753","Apple iPad Mini 4 Wi-Fi 32GB Gold"
"158",315009,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"159",315215,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"160",315307,"WAC0084","Wacom Cintiq 13HD Graphic Tablet 13 LED"
"161",315840,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"162",316072,"APP1743","Apple iPad Air 2 Wi-Fi 32GB Silver"
"163",316190,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"164",316243,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"165",316309,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"166",316466,"WAC0084-A","Open - Wacom Cintiq 13HD interactive pen display Mac and PC"
"167",316647,"WAC0084-A","Open - Wacom Cintiq 13HD interactive pen display Mac and PC"
"168",316687,"APP0864","Apple iPad 2 Wi-Fi Air 128GB Silver"
"169",315456,"APP1752","Apple iPad Mini 4 Wi-Fi 32GB Silver"
"170",317332,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"171",317551,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"172",317562,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"173",317764,"WAC0161","Wacom Intuos Creative Art Pen & Touch S Graphics Tablet Black"
"174",317906,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"175",317149,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"176",318370,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"177",318416,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"178",318519,"WAC0185","Education - Wacom Intuos Comic M Black"
"179",318844,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"180",318964,"APP0863","Apple iPad 2 Wi-Fi Air 128GB Space Gray"
"181",318990,"APP0863","Apple iPad 2 Wi-Fi Air 128GB Space Gray"
"182",318994,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"183",319132,"APP1486","Apple iPad Pro 9.7 128GB Wi-Fi Oro Rosa"
"184",319304,"WAC0215","Education - Wacom Intuos Pro M South Graphics Tablet"
"185",319498,"WAC0168","Education - Wacom Intuos Photo Creative Pen & Touch S Black"
"186",311788,"WAC0163","Wacom Intuos graphics tablet Photo Small Black"
"187",319720,"WAC0161","Wacom Intuos Creative Art Pen & Touch S Graphics Tablet Black"
"188",319955,"WAC0159","Wacom Cintiq 13HD Pen & Touch Display"
"189",320090,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"190",320096,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"191",320228,"WAC0165","Education - Wacom Intuos graphics tablet with pen Draw S White"
"192",320300,"WAC0169","Education - Wacom Intuos Creative Comic Pen & Touch S Black"
"193",319749,"WAC0217","Education - Intuos Pro Paper M South Graphics Tablet"
"194",320419,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"195",263733,"WAC0217","Education - Intuos Pro Paper M South Graphics Tablet"
"196",320634,"WAC0217","Education - Intuos Pro Paper M South Graphics Tablet"
"197",320654,"APP1744","Apple iPad Air 2 Wi-Fi 32GB Dorado"
"198",320888,"WAC0160","Wacom Intuos Graphics Tablet S Draw with pencil White"
"199",317761,"APP1743","Apple iPad Air 2 Wi-Fi 32GB Silver"
"200",321337,"WAC0217","Education - Intuos Pro Paper M South Graphics Tablet"
"201",321497,"WAC0222","Cintiq Wacom Graphics Tablet Pro 13 FHD"
"202",321753,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"203",321779,"WAC0214","Wacom Intuos Pro South M Graphics Tablet"
"204",321787,"WAC0216","South Intuos Pro Paper M Graphics Tablet"
"205",321818,"WAC0157","Wacom Cintiq Interactive Pen & Touch 27QHD Mac and PC Display"
"206",321886,"APP1742","Apple iPad Air 2 Wi-Fi 32GB Space Gray"
"207",321907,"APP0864","Apple iPad 2 Wi-Fi Air 128GB Silver"
"208",321914,"WAC0166","Education - Wacom Intuos Creative Art Pen & Touch S Black"
"209",322345,"APP0874","Apple iPad Air 2 Wi-Fi + Cellular 128GB Dorado"
"210",322546,"WAC0217","Education - Intuos Pro Paper M South Graphics Tablet"
"211",322601,"APP1483","Apple iPad Pro 9.7 128GB Wi-Fi Gray Space"
"212",322713,"WAC0167-A","Open - Wacom Intuos Creative Art Pen & Touch M Black (Education)"
"213",322848,"APP1752","Apple iPad Mini 4 Wi-Fi 32GB Silver"
"214",322915,"WAC0185","Education - Wacom Intuos Comic M Black"
